,zipcode,cost
221,95123,475800
222,60616,306500
223,32174,139500
224,75206,351500
225,94544,446600
226,30041,140600
227,2360,285700
228,20001,639000
229,43228,74400
230,93550,196900
231,89052,302200
232,21215,59600
233,63123,130300
234,95747,378700
235,93309,130000
236,89123,172400
237,20147,289800
238,40601,97800
239,19446,204500
240,8831,188400
241,43068,101500
242,34953,132400
243,7087,290800
244,35242,184900
245,95687,304600
246,45601,93900
247,94122,1184400
248,75056,230500
249,29072,96700
250,91710,314800
251,27713,148800
252,23223,94000
253,60453,85100
254,7302,743600
255,60641,151400
256,93535,160700
257,60622,399900
258,32225,111000
259,93536,192800
260,93257,121200
261,23451,226900
262,93727,147200
263,28078,174700
264,19120,81200
265,48823,145500
266,93306,131100
267,32828,181100
268,60660,223900
269,2301,209900
270,80525,270800
271,33321,153600
272,55901,144000
273,19720,137700
274,30135,118200
275,22204,387000
276,80015,266200
277,95758,273800
278,19020,194600
279,30127,128600
280,60056,148600
281,21122,215900
282,27707,132900
283,21222,124300
284,20874,201100
285,33319,84200
286,85282,158700
287,60085,92400
288,95076,421700
289,77840,131200
290,33467,87900
291,89031,154400
292,93307,97200
293,31907,59100
294,60615,153800
295,29730,81500
296,33157,127900
297,98133,442300
298,29223,73100
299,28601,85200
300,32792,96200
301,90802,381500
302,31419,108900
303,63021,139600
304,95035,684900
305,92115,407300
306,29445,121500
307,14580,137900
308,27284,92400
309,63129,123700
310,92104,510000
311,20020,243600
312,15301,106800
313,90631,427000
314,6516,142900
315,85022,163000
316,93274,124300
317,85301,98000
318,92646,493400
319,93230,127500
320,30909,85800
321,30004,196300
322,1960,318600
323,30906,43100
324,66061,112200
325,31088,59000
326,92630,387100
327,95051,669700
328,98115,657700
329,32608,89300
330,85008,139100
331,97045,309900
332,89110,86700
333,75211,98300
334,92376,246300
335,33511,120000
336,95355,248900
337,98632,114300
338,21224,234400
339,33458,179500
340,43229,58400
341,34787,119500
342,97401,240100
343,32246,111800
344,29485,129900
345,33414,222000
346,27705,146000
347,67401,74400
348,37167,133700
349,17331,136600
350,21061,186400
351,95014,1083900
352,99208,139400
353,74133,146000
354,95670,236200
355,92105,377600
356,46143,102000
357,98682,219900
358,60148,186600
359,45013,90600
360,32303,84000
361,85251,195300
362,19067,245900
363,20852,383900
364,30066,145000
365,19134,94900
366,30253,83300
367,60637,133500
368,28210,134000
369,38655,132300
370,94080,765900
371,28215,72100
372,75035,253500
373,83301,105500
374,72712,108200
375,33433,188100
376,47150,83400
377,89103,105900
378,10014,2491600
379,90640,440600
380,14094,95600
381,28655,79200
382,78758,152500
383,33015,162400
384,78759,243800
385,28216,78500
386,92648,640100
387,45044,62200
388,23322,185200
389,37027,245300
390,32765,125400
391,37421,135700
392,1201,136100
393,59102,161900
394,28205,165400
395,20904,184900
396,30083,58200
397,94513,498600
398,94087,986400
399,30067,118300
400,42701,96800
401,8759,130600
402,30047,126200
403,30263,99600
404,94112,882100
405,53704,166600
406,7305,307400
407,23455,185600
408,30058,58300
409,60608,281800
410,95125,937700
411,28227,99100
412,29681,127500
413,92122,450600
414,41042,103500
415,96815,586800
416,30101,140400
417,90036,1222000
418,19148,183000
419,37064,263700
420,33436,151800
421,27265,88600
422,33324,163800
423,43015,124900
424,37040,78300
425,33021,166600
426,98208,280900
427,27407,77800
428,92117,460300
429,37122,254200
430,77070,136200
431,98034,313700
432,54601,116100
433,48439,144100
434,27703,97400
435,78753,168200
436,92128,437600
437,11746,311200
438,33463,98300
439,92562,304600
440,7047,300700
441,60004,160100
442,19104,123600
443,6457,152500
444,2151,336300
445,33308,341900
446,32825,131600
447,34668,84100
448,94591,294800
449,2780,208700
450,2135,440300
451,84404,121900
452,33141,330100
453,91331,402800
454,7728,209600
455,53711,233900
456,20910,329200
457,8873,242900
458,55124,170900
459,93308,106600
460,48066,54400
461,28540,76700
462,17601,169700
463,8527,220900
464,6511,156900
465,22192,205600
466,27106,76800
467,37066,123100
468,97124,287200
469,32771,131800
470,30075,249700
471,45140,124800
472,45424,79200
473,22201,619900
474,33023,182000
475,94568,566100
476,90042,615300
477,78641,205000
478,92020,326500
479,47130,87400
480,61761,108500
481,92620,524600
482,95112,691600
483,94553,410200
484,37129,147300
485,19702,155200
486,30144,122900
487,80219,257600
488,21218,116000
489,91801,537800
490,37128,144100
491,32839,84700
492,92882,289400
493,30907,86900
494,19711,179100
495,76051,219600
496,96706,325100
497,34293,172900
498,85351,150900
499,94015,827100
500,92201,201200
501,75204,372300
502,60402,156900
503,27519,231200
504,70816,119800
505,89147,158700
506,92399,267000
507,98225,317300
508,33312,215400
509,77373,107300
510,65202,86700
511,78223,81600
512,63116,99700
513,53209,48400
514,19380,277100
515,22407,211500
516,94086,917100
517,34748,137700
518,48038,123700
519,73013,126300
520,8021,76900
521,63301,153900
522,19131,83500
523,96797,360400
524,95350,203300
525,60638,133800
526,45040,140300
527,92704,335400
528,97504,205800
529,97206,361700
530,85255,389200
531,34698,163200
532,83709,152000
533,33437,173600
534,92024,667000
535,78520,59900
536,21206,114700
537,44646,83300
538,92553,230300
539,97405,237700
540,75093,269700
541,28025,106900
542,61265,79300
543,95008,768800
544,92056,358500
545,19382,199900
546,75115,111400
547,60639,186500
548,84015,157200
549,19140,40100
550,22003,196100
551,34997,149800
552,7306,312900
553,76179,149100
554,92071,295000
555,89119,92500
556,27603,167400
557,95624,279900
558,23456,171200
559,22030,307500
560,96817,395700
561,92130,552100
562,32137,194200
563,36695,113300
564,45238,87900
565,38016,93700
566,92626,482000
567,85374,221200
568,89129,161400
569,34952,122500
570,90006,573500
571,23225,128400
572,23112,172700
573,92656,451400
574,78550,68000
575,44124,107700
576,78748,212400
577,30319,347400
578,29229,94600
579,10036,1712900
580,47374,52600
581,29483,214500
582,92563,240900
583,63303,143800
584,48187,159600
585,93003,370800
586,39503,88400
587,98122,617200
588,28546,71800
589,79424,152100
590,38654,120800
591,90024,913900
592,6810,179400
593,90255,391300
594,60073,118500
595,7003,173400
596,21228,209700
597,63366,160000
598,96720,238700
599,60630,186200
600,27405,64300
601,92509,287300
602,87112,149300
603,83646,175900
604,19320,179300
605,80123,292900
606,92253,329100
607,12550,140400
608,62704,88300
609,55337,167600
610,19149,85200
611,33176,156900
612,91786,345400
613,80538,266200
614,80012,199200
615,45069,91600
616,78250,114200
617,96789,374600
618,63031,72800
619,27606,134300
620,30606,93400
621,11434,382300
622,33065,96900
623,94115,1279400
624,33614,135600
625,40214,167000
626,75025,242100
627,19464,124800
628,27613,173800
629,76133,100700
630,60643,120100
631,33418,215400
632,17602,134300
633,32068,128100
634,23185,165500
635,97301,162900
636,85205,157400
637,56001,165600
638,80020,314500
639,49009,145700
640,32935,122800
641,87109,168300
642,10940,131900
643,65802,58600
644,14120,101300
645,97223,293500
646,92234,197000
647,80918,194800
648,15642,108700
649,33062,334300
650,93312,231400
651,97501,167300
652,92708,467500
653,15237,152600
654,92057,312800
655,43232,61300
656,43235,113600
657,7470,239400
658,92037,751000
659,38111,50100
660,85375,220200
661,93277,144900
662,30032,80100
663,43615,74500
664,33322,75500
665,37660,69800
666,75703,157100
667,10306,352900
668,96744,558400
669,12065,178200
670,33810,147600
671,63136,42700
672,33125,228800
673,73120,94100
674,67212,125300
675,70506,105800
676,23434,115700
677,20850,343600
678,92805,477500
679,35215,68300
680,29501,85400
681,7083,280400
682,87105,122500
683,45014,72400
684,27615,137000
685,98661,227100
686,33914,152900
687,48044,153000
688,93063,362500
689,98125,489800
690,45324,78400
691,19147,311500
692,33020,199900
693,30114,131200
694,33615,138600
695,27360,69500
696,53215,95100
697,8054,146400
698,7601,243600
699,6492,178300
700,27529,121400
701,44102,41000
702,43207,72900
703,92103,553800
704,1844,253100
705,85122,131700
706,19335,237500
707,60411,73500
708,37043,137300
709,75080,189200
710,23188,200200
711,33612,108100
712,94117,1300400
713,47401,149200
714,55106,148500
715,35405,72600
716,80014,238700
717,91402,393900
718,91367,443400
719,97702,368800
720,91977,357200
721,54956,96100
722,30236,69100
723,95831,304400
724,89122,117700
725,72764,89400
726,34655,112300
727,93720,178300
728,46032,188000
729,92507,238700
730,96003,184100
731,23608,110600
732,8053,154300
733,65804,92300
734,22314,569900
735,60804,139400
736,97330,271100
737,93436,223000
738,55303,205200
739,55113,204900
740,80016,416400
741,18103,126800
742,34221,154000
743,13760,81800
744,33617,85400
745,20774,174600
746,80526,271900
747,95207,176700
748,72701,130400
749,90277,866600
750,30093,89500
751,27616,129200
752,85711,133500
753,80504,291500
754,85248,265000
755,48307,173200
756,76549,57100
757,38017,191700
758,92801,381900
759,94121,1213500
760,7024,436100
761,77546,120900
762,87110,138200
763,10312,355000
764,95020,528300
765,48183,101300
766,46226,67400
767,91744,399300
768,90049,1050800
769,60435,122500
770,54115,133500
771,87507,211700
772,64118,106400
773,55104,179500
774,33442,111200
775,43224,66700
776,92404,215400
777,92780,375500
778,28403,137200
779,8540,375400
780,32216,114700
781,27215,83900
782,89148,158900
783,11706,299900
784,91766,318500
785,87123,156900
786,91706,385500
787,92346,205100
788,75023,223500
789,24502,119100
790,65803,55300
791,92260,266800
792,1970,318500
793,27612,166100
794,28110,122300
795,95616,435800
796,21229,81600
797,80229,224400
798,48219,34800
799,8401,118900
800,54703,113400
801,33415,98400
802,97202,476700
803,85018,188100
804,85207,179200
805,27107,47800
806,87108,150700
807,75219,318400
808,44870,71500
809,19403,170700
810,95060,760100
811,91406,502400
812,21044,183000
813,22554,217500
814,85260,259400
815,55112,183900
816,98270,264100
817,2895,151400
818,95828,208300
819,27604,130000
820,15108,106000
821,94611,910500
822,85719,160000
823,33142,123500
824,32164,161700
825,48111,117100
826,90020,451400
827,12866,288600
828,60632,149500
829,63033,76600
830,30721,78200
831,55044,233900
832,90803,748500
833,85326,180900
834,96822,427900
835,98003,170400
836,32725,103300
837,75006,165900
838,78233,114900
839,90028,702000
840,85044,204900
841,48170,227700
842,33033,132600
843,28806,202400
844,90503,597000
845,29607,110700
846,8854,230200
847,37221,186000
848,90813,363200
849,27526,148800
850,95628,294700
851,85382,229000
852,30064,155200
853,8757,150400
854,40324,132500
855,34112,177200
856,54935,75700
857,32514,81200
858,19103,700700
859,47201,82800
860,70115,397800
861,14609,83200
862,27513,164900
863,30605,100600
864,85338,199700
865,34741,87300
866,80537,259400
867,61554,70200
868,52404,99400
869,20171,312600
870,92324,222100
871,62040,58100
872,33578,124300
873,94550,574700
874,44111,59500
875,29651,90400
876,16801,204600
877,21221,136800
878,94577,550600
879,40216,117700
880,94102,1058500
881,94118,1310300
882,43204,69600
883,75074,187600
884,52402,93500
885,80233,274100
886,60115,110900
887,44212,121800
888,94546,571700
889,29615,127300
890,95403,329900
891,2860,153400
892,99205,136700
893,10022,2031600
894,85029,128600
895,7712,299000
896,37087,131200
897,43016,156900
898,92223,272000
899,33178,232400
900,92692,562700
901,23602,156300
902,33180,354900
903,98023,187800
904,29073,95500
905,54220,78500
906,28262,111100
907,33919,148400
908,2703,226900
909,49424,155600
910,49423,139500
911,92114,381700
912,95678,262600
913,37343,131700
914,8081,84200
915,98391,310600
916,98226,263700
917,75024,254400
918,33126,163000
919,44120,55000
920,32835,110600
921,38115,55500
922,45231,82900
923,60506,132200
924,85016,212200
925,42240,80700
926,24018,139400
927,48706,47300
928,98118,446500
929,44118,92800
930,14450,145700
931,92026,402400
932,92129,334200
933,91601,543200
934,6460,225200
935,60014,140100
936,1453,170900
937,29687,106300
938,91762,297600
939,33068,140200
940,48843,159500
941,77511,114300
942,76112,81900
943,91770,503800
944,96816,558000
945,8724,178300
946,21401,278300
947,44240,105800
948,98501,233500
949,40517,107800
950,2124,356300
951,75063,226800
952,75214,400200
953,90630,453900
954,85206,179300
955,37620,73400
956,28173,149700
957,15068,84900
958,21502,63900
959,77396,108800
960,7052,328300
961,60201,296300
962,85706,112800
963,32703,90000
964,92078,446100
965,98387,222300
966,91405,411000
967,60126,274900
968,63122,185400
969,90003,351300
970,21043,237200
971,85365,121000
972,90047,406100
973,33904,155600
974,75216,50500
975,32708,131700
976,32808,66700
977,76017,135100
978,97007,250900
979,91343,309600
980,98204,192700
981,20902,288900
982,90018,606700
983,90016,557900
984,37076,155400
985,28117,172000
986,29210,75200
987,23234,83000
988,30518,135500
989,30076,138100
990,94403,1060100
991,40509,105800
992,46220,169200
993,91942,416100
994,90247,424600
995,91702,369500
996,63026,158200
997,60440,137200
998,28306,73600
999,93446,326600
1000,53202,271500
1001,80631,175800
1002,33161,208200
1003,93291,128400
1004,80011,224400
1005,30809,88800
1006,33165,277300
1007,85713,109000
1008,28412,125800
1009,18104,158300
1010,34744,148100
1011,65201,83600
1012,13601,104300
1013,90043,519500
1014,77008,312800
1015,85383,337700
1016,92870,406600
1017,94114,1461400
1018,33435,139900
1019,96818,393000
1020,44109,56000
1021,80231,240400
1022,94010,1402800
1023,44203,73300
1024,29803,100100
1025,63017,216500
1026,95124,796300
1027,68516,211600
1028,38109,46100
1029,8816,200100
1030,33179,114900
1031,30034,64300
1032,98105,707400
1033,94590,287500
1034,98277,254100
1035,90022,400800
1036,32224,124600
1037,55125,167000
1038,80220,409000
1039,23669,99500
1040,97006,250200
1041,13021,104600
1042,37601,93700
1043,92504,305900
1044,19128,186400
1045,65109,101900
1046,43551,134400
1047,59101,138300
1048,55416,266700
1049,47905,80700
1050,90037,406800
1051,73034,112800
1052,60089,150900
1053,96734,603300
1054,37115,134500
1055,98258,315200
1056,7960,408900
1057,84041,167200
1058,32940,173300
1059,90045,920200
1060,23220,182600
1061,18102,67800
1062,44094,106800
1063,91761,313800
1064,48104,203400
1065,32159,183500
1066,28226,130700
1067,97123,256800
1068,44720,127300
1069,93551,317300
1070,34203,173100
1071,56560,155000
1072,37604,94100
1073,92111,419600
1074,48198,97800
1075,80501,283200
1076,77539,116800
1077,80127,313200
1078,11772,254600
1079,48073,156100
1080,92116,502400
1081,32257,111400
1082,52302,116100
1083,18974,227800
1084,93033,306100
1085,6606,129000
1086,98033,662000
1087,80210,496900
1088,75248,249200
1089,45211,79700
1090,90278,735300
1091,75104,107200
1092,90005,598800
1093,85209,207400
1094,44224,111700
1095,20772,184200
1096,6082,151500
1097,98837,105700
1098,38128,57300
1099,80401,329700
1100,78253,208100
1101,91344,455300
1102,60010,244600
1103,32780,81200
1104,98902,142500
1105,48060,67600
1106,29621,103300
1107,20008,617500
1108,15235,72800
1109,97302,194700
1110,46514,87900
1111,83686,115900
1112,1752,258800
1113,92392,168800
1114,85020,158400
1115,60123,136200
1116,92211,271400
1117,33175,176000
1118,21921,154600
1119,30097,206700
1120,99362,166800
1121,30350,128500
1122,83704,147800
1123,49442,47600
1124,27103,104300
1125,98004,689100
1126,27609,140900
1127,15317,139600
1128,77581,222500
1129,55408,230100
1130,20176,259900
1131,30324,230000
1132,92028,454800
1133,44134,87500
1134,48911,54700
1135,94066,766100
1136,92691,448200
1137,49201,109500
1138,85712,134100
1139,34667,108700
1140,46254,85100
1141,29150,67100
1142,84043,246900
1143,95404,496200
1144,94539,722000
1145,95336,360400
1146,75071,209800
1147,92545,186600
1148,33134,380300
1149,53211,219900
1150,92672,699600
1151,1801,385800
1152,53207,127000
1153,49504,124900
1154,76039,142700
1155,85208,177500
1156,60645,129800
1157,90660,410700
1158,34209,169600
1159,28311,60200
1160,91950,360200
1161,8817,206900
1162,37209,231200
1163,22903,205600
1164,97219,421700
1165,97030,201900
1166,53214,96500
1167,98801,191100
1168,32073,89100
1169,30157,125300
1170,60505,95800
1171,19460,229600
1172,92009,474500
1173,92886,481800
1174,55117,163400
1175,78227,82100
1176,91745,344500
1177,41017,127900
1178,77064,118000
1179,11561,436800
1180,30309,331100
1181,30506,130600
1182,46237,106500
1183,33177,211900
1184,19808,189000
1185,21236,146100
1186,92688,409400
1187,1915,356800
1188,90703,344500
1189,21220,147300
1190,75019,236700
1191,17055,133600
1192,94610,807200
1193,23228,137600
1194,60462,130400
1195,1902,242000
1196,34231,199700
1197,60067,191100
1198,98109,636400
1199,6484,233400
1200,94928,319000
1201,76108,66000
1202,54701,129000
1203,60193,153900
1204,2740,186200
1205,98042,309800
1206,33461,96400
1207,6790,114500
1208,46902,61000
1209,80211,467100
1210,33445,117200
1211,60062,263000
1212,21804,91200
1213,94601,491100
1214,33417,80600
1215,92064,480400
1216,53221,108500
1217,32907,116900
1218,17543,169000
1219,46410,106200
1220,46038,148000
1221,91765,345100
1222,20747,162000
1223,62702,61300
1224,94566,705700
1225,34207,120400
1226,24153,122400
1227,97756,234500
1228,12603,162700
1229,33917,157100
1230,23224,75400
1231,21230,253300
1232,93010,460200
1233,28105,151700
1234,46383,127800
1235,28213,78300
1236,35401,87700
1237,95825,222200
1238,24401,133500
1239,92544,197500
1240,46901,47300
1241,89014,121600
1242,19805,115500
1243,40299,242600
1244,46140,106500
1245,8234,113900
1246,93711,216500
1247,1420,172200
1248,21702,155900
1249,34609,111800
1250,64055,83600
1251,40356,99900
1252,60188,165900
1253,89131,201800
1254,32304,67400
1255,18042,113200
1256,35216,101400
1257,92833,492200
1258,21093,245400
1259,84119,146300
1260,49441,85000
1261,60477,115900
1262,92530,211400
1263,33410,205900
1264,18017,158000
1265,93117,536400
1266,19701,174000
1267,15221,65600
1268,85716,146000
1269,21701,186900
1270,30328,165100
1271,28212,70500
1272,32955,115500
1273,1085,174900
1274,97477,173200
1275,33040,539900
1276,77004,237200
1277,32404,96200
1278,89509,293100
1279,60025,165200
1280,61701,90200
1281,30039,128800
1282,40291,226700
1283,78232,157100
1284,84121,228500
1285,92618,428600
1286,33484,112200
1287,85635,102900
1288,30339,262700
1289,28054,59100
1290,32207,102600
1291,32712,113400
1292,44122,132300
1293,79925,90500
1294,98058,280000
1295,90275,727600
1296,84770,145700
1297,93304,119900
1298,31909,79900
1299,95037,621100
1300,40219,143000
1301,55406,220300
1302,2127,629100
1303,48146,52000
1304,27292,86200
1305,91605,445500
1306,27893,70100
1307,19401,120700
1308,98092,252200
1309,98102,614500
1310,48910,56900
1311,85027,133200
1312,53590,172600
1313,55379,167100
1314,95826,125900
1315,6360,149900
1316,61201,68500
1317,28304,67000
1318,72756,104900
1319,55304,249500
1320,33196,157600
1321,46368,114600
1322,10977,336100
1323,48227,38100
1324,30120,88800
1325,95821,266900
1326,2149,319600
1327,43201,223900
1328,92040,417700
1329,92054,591800
1330,7036,196500
1331,63368,171700
1332,45342,92300
1333,60120,135900
1334,32714,89900
1335,80909,181500
1336,55110,205000
1337,79707,167700
1338,82001,153400
1339,32507,199000
1340,8861,200400
1341,32818,102700
1342,33844,83300
1343,38116,70400
1344,60707,151300
1345,33624,135700
1346,80906,184500
1347,73112,83200
1348,32526,75000
1349,29203,49400
1350,95127,617400
1351,22202,538400
1352,85745,126200
1353,90804,393000
1354,33446,112700
1355,76021,168800
1356,84010,183100
1357,33771,138000
1358,38134,88600
1359,90745,374600
1360,77055,223600
1361,95240,231100
1362,85730,106100
1363,43213,71300
1364,48188,133900
1365,60540,189100
1366,92506,314800
1367,94606,581400
1368,92660,882600
1369,33928,218300
1370,30126,97600
1371,61820,84700
1372,94025,1419400
1373,94107,1270400
1374,46060,122400
1375,76502,98400
1376,45385,81600
1377,95667,278700
1378,17042,115500
1379,30680,102500
1380,85704,169200
1381,33610,85900
1382,60605,370200
1383,21045,215400
1384,98503,204900
1385,49503,134400
1386,34145,425300
1387,22901,166300
1388,36608,88400
1389,83501,144000
1390,48430,158500
1391,55423,209800
1392,27295,84000
1393,55119,163000
1394,85033,118100
1395,90029,778000
1396,90815,570500
1397,95476,615100
1398,97701,384900
1399,60563,173600
1400,93611,194200
1401,95136,636700
1402,98223,285100
1403,17050,166600
1404,89128,113000
1405,27516,205000
1406,30519,156800
1407,48047,95900
1408,11743,465800
1409,22033,282300
1410,7753,231300
1411,94901,796300
1412,97303,209200
1413,38127,44800
1414,34746,124700
1415,95062,755600
1416,27127,67100
1417,14624,104500
1418,93311,218200
1419,49203,71700
1420,27105,49300
1421,32738,106800
1422,32034,242100
1423,85249,219200
1424,33016,140500
1425,63114,70500
1426,95926,244400
1427,12601,147400
1428,20032,225500
1429,64133,73800
1430,75044,157000
1431,34786,197100
1432,46219,76100
1433,33611,185000
1434,74136,67100
1435,32127,164200
1436,99504,172500
1437,72703,124800
1438,19082,47900
1439,49508,149400
1440,20148,254800
1441,1040,158700
1442,33428,135500
1443,30134,73300
1444,84074,145200
1445,95111,445700
1446,70808,166400
1447,78413,132500
1448,49120,74800
1449,2472,466900
1450,84790,199100
1451,43017,156400
1452,87505,288900
1453,38671,76000
1454,45373,85300
1455,44105,39000
1456,7307,336000
1457,46203,50500
1458,48105,216800
1459,28411,161900
1460,8902,218400
1461,61704,125600
1462,80227,229900
1463,50315,92000
1464,46385,145000
1465,91016,557800
1466,8012,127500
1467,93455,311600
1468,93534,159300
1469,53703,324600
1470,61832,46500
1471,8094,149700
1472,90291,1457200
1473,48310,157500
1474,97222,288700
1475,91320,361400
1476,91606,499600
1477,8360,122900
1478,12401,141200
1479,60090,145600
1480,91764,340200
1481,20785,174200
1482,22801,164200
1483,95762,455100
1484,75165,109900
1485,44512,64900
1486,60653,182700
1487,53219,114300
1488,97217,410400
1489,33172,158800
1490,53051,190000
1491,89436,249900
1492,96826,486700
1493,63701,112000
1494,2139,699400
1495,27520,112000
1496,90065,676700
1497,83706,161400
1498,2130,491400
1499,76107,223100
1500,34232,169600
1501,92395,164900
1502,30152,143700
1503,30038,54200
1504,79705,175400
1505,60409,60000
1506,91423,710600
1507,2138,680900
1508,92025,381500
1509,85302,126500
1510,97230,285900
1511,95050,853900
1512,33155,316300
1513,85120,142600
1514,17403,117500
1515,33014,173300
1516,28115,104400
1517,94116,1123100
1518,14612,107100
1519,92557,243500
1520,30228,80100
1521,2920,190400
1522,60302,168100
1523,92262,263700
1524,32547,96400
1525,96753,512800
1526,44146,74100
1527,20743,179500
1528,23111,170700
1529,64801,52800
1530,80022,208700
1531,43065,167800
1532,95928,235300
1533,97080,278500
1534,89101,97600
1535,6040,133200
1536,94804,406500
1537,30084,113900
1538,80126,342200
1539,92127,390200
1540,53218,56600
1541,95023,413900
1542,86314,194400
1543,30311,63100
1544,90262,381900
1545,92019,321900
1546,85226,203400
1547,46037,175100
1548,97224,284500
1549,40220,214400
1550,6450,126600
1551,27704,114800
1552,33613,72800
1553,73170,137300
1554,11217,1302300
1555,48917,123300
1556,51503,116100
1557,46224,92700
1558,90405,1408900
1559,90501,550600
1560,8857,244900
1561,37207,146100
1562,90723,351100
1563,34653,73200
1564,98382,276600
1565,33880,73000
1566,40515,115900
1567,91732,457400
1568,30815,64700
1569,73110,60400
1570,27330,79300
1571,30813,87600
1572,32506,69700
1573,60068,217500
1574,33604,127500
1575,50317,80600
1576,98908,205900
1577,79423,103900
1578,95126,766700
1579,98036,299600
1580,30019,149300
1581,44145,122300
1582,78526,71100
1583,63304,151700
1584,60031,129400
1585,33147,141000
1586,92243,149400
1587,30115,149500
1588,50266,130500
1589,48221,44600
1590,99206,161900
1591,33133,454300
1592,78414,161700
1593,21208,160000
1594,97305,170300
1595,60074,126000
1596,30316,234000
1597,19063,245800
1598,98026,307400
1599,63119,177400
1600,23231,98300
1601,94578,510700
1602,92084,441300
1603,64804,59500
1604,20110,162600
1605,84107,178000
1606,90241,512200
1607,31210,82200
1608,32707,136600
1609,48154,141100
1610,70601,97800
1611,90292,959700
1612,37643,77200
1613,90638,402100
1614,33952,97000
1615,94404,948000
1616,94044,774900
1617,85086,261200
1618,94040,981600
1619,93726,144200
1620,30338,228900
1621,80524,308100
1622,19115,138400
1623,31405,110400
1624,73401,56500
1625,28092,85800
1626,76180,144500
1627,55407,213000
1628,80004,318500
1629,38118,59000
1630,48035,71200
1631,33702,130200
1632,86442,127600
1633,75081,187700
1634,85614,150200
1635,34119,233000
1636,28803,177100
1637,98584,182300
1638,33130,354600
1639,92307,184400
1640,66212,122400
1641,90008,669700
1642,2128,406000
1643,48239,52300
1644,30458,78600
1645,38301,51600
1646,77065,137200
1647,17404,109300
1648,92840,464600
1649,19130,332300
1650,33010,243900
1651,94123,1630200
1652,80247,204600
1653,84047,183900
1654,92069,337600
1655,91205,569500
1656,91360,454000
1657,40272,182000
1658,8096,146400
1659,94523,479100
